Pos,Game,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
71,Mafia III,Action-Adventure,2K Games,0.54,0.48,0,0.09,1.11
170,Battleborn,Shooter,2K Games,0.2,0.05,0,0.03,0.28
135,BioShock The Collection,Shooter,2K Games,0.35,0.08,0,0.05,0.48
108,Evolve,Shooter,2K Games,0.4,0.2,0,0.06,0.67
107,Borderlands: The Handsome Collection,Shooter,2K Games,0.49,0.13,0,0.07,0.68
120,WWE 2K17,Sports,2K Games,0.26,0.26,0,0.05,0.57
212,XCOM 2,Strategy,2K Games,0.15,0.02,0,0.02,0.19
115,WWE 2K15,Sports,2K Sports,0.32,0.23,0,0.05,0.61
109,WWE 2K18,Sports,2K Sports,0.35,0.25,0,0.06,0.66
77,NBA 2K14,Sports,2K Sports,0.72,0.12,0,0.09,0.94
44,NBA 2K15,Sports,2K Sports,1.39,0.18,0,0.18,1.74
38,NBA 2K18,Sports,2K Sports,1.67,0.14,0,0.21,2.02
36,NBA 2K17,Sports,2K Sports,1.7,0.12,0,0.21,2.04
29,NBA 2K16,Sports,2K Sports,2.01,0.15,0,0.25,2.41
351,Terraria,Action,505 Games,0,0.04,0,0,0.04
246,Dead by Daylight,Action,505 Games,0.08,0.03,0,0.01,0.12
379,ABZU,Adventure,505 Games,0.02,0,0,0,0.02
354,Don't Starve,Adventure,505 Games,0.04,0,0,0,0.04
327,Brothers: A Tale of Two Sons,Adventure,505 Games,0.04,0.01,0,0.01,0.05
369,INSIDE / LIMBO Double Pack,Platform,505 Games,0.03,0,0,0,0.03
389,Redout,Racing,505 Games,0.02,0,0,0,0.02
403,Assetto Corsa,Racing,505 Games,0,0.01,0,0,0.02
250,NASCAR Heat 2,Racing,505 Games,0.11,0,0,0.01,0.12
391,Portal Knights,Role-Playing,505 Games,0.02,0,0,0,0.02
367,Raid: World War II,Shooter,505 Games,0.03,0,0,0,0.03
188,Payday 2,Shooter,505 Games,0.14,0.07,0,0.02,0.23
144,Sniper Elite 3,Shooter,505 Games,0.27,0.12,0,0.04,0.43
371,Stardew Valley,Simulation,505 Games,0.02,0,0,0,0.03
60,Rocket League,Sports,505 Games,0.52,0.75,0,0.11,1.38
381,Geometry Wars 3: Dimensions Evolved,Action,Activision,0.02,0,0,0,0.02
297,Teenage Mutant Ninja Turtles: Mutants in Manhattan,Action,Activision,0.05,0.01,0,0.01,0.07
302,Ghostbusters (2016),Action,Activision,0.06,0,0,0.01,0.07
259,Prototype: Biohazard Bundle,Action,Activision,0.1,0,0,0.01,0.11
229,Transformers: Devastation,Action,Activision,0.1,0.04,0,0.01,0.15
192,Deadpool,Action,Activision,0.17,0.03,0,0.02,0.22
193,The Amazing Spider-Man 2 (2014),Action-Adventure,Activision,0.12,0.08,0,0.02,0.22
149,Skylanders: SuperChargers,Action-Adventure,Activision,0.31,0.05,0,0.04,0.4
341,King's Quest: The Complete Collection,Adventure,Activision,0.04,0,0,0.01,0.05
155,Skylanders SWAP Force,Misc,Activision,0.25,0.07,0,0.03,0.35
86,Guitar Hero Live,Music,Activision,0.52,0.23,0,0.08,0.83
176,Skylanders Imaginators,Platform,Activision,0.19,0.05,0,0.03,0.27
140,Skylanders: Trap Team,Platform,Activision,0.34,0.07,0,0.04,0.45
222,Angry Birds: Star Wars,Puzzle,Activision,0.11,0.04,0,0.02,0.16
227,Transformer: Rise of the Dark Spark,Shooter,Activision,0.1,0.03,0,0.01,0.15
182,Call of Duty: Modern Warfare Remastered,Shooter,Activision,0.16,0.06,0,0.02,0.24
148,Destiny: The Collection,Shooter,Activision,0.25,0.12,0,0.04,0.41
65,Destiny: The Taken King,Shooter,Activision,0.91,0.23,0,0.12,1.27
31,Destiny 2,Shooter,Activision,1.66,0.47,0,0.23,2.35
22,Call of Duty: Ghosts,Shooter,Activision,1.92,0.86,0,0.28,3.07
17,Destiny,Shooter,Activision,2.17,0.92,0,0.32,3.41
10,Call of Duty: Infinite Warfare,Shooter,Activision,2.91,1.44,0,0.44,4.79
6,Call of Duty: Advanced Warfare,Shooter,Activision,3.25,1.49,0.01,0.48,5.22
3,Call of Duty: WWII,Shooter,Activision,3.75,1.91,0,0.57,6.23
2,Call of Duty: Black Ops 3,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
233,Tony Hawk's Pro Skater 5,Sports,Activision,0.11,0.02,0,0.01,0.14
306,Atari Flashback Classics: Volume 1,Misc,Atari,0.06,0,0,0.01,0.06
321,Atari Flashback Classics: Volume 2,Misc,Atari,0.05,0,0,0.01,0.06
211,Naruto to Boruto: Shinobi Striker,Action,Bandai Namco Games,0.17,0,0,0.02,0.19
147,Project CARS,Racing,Bandai Namco Games,0.21,0.16,0,0.04,0.41
237,Dishonored: Death of the Outsider,Action,Bethesda Softworks,0.07,0.06,0,0.01,0.14
206,Dishonored,Action,Bethesda Softworks,0.13,0.05,0,0.02,0.19
152,The Evil Within II,Action,Bethesda Softworks,0.25,0.1,0,0.04,0.39
82,Dishonored 2,Action,Bethesda Softworks,0.47,0.31,0,0.08,0.86
105,The Evil Within,Misc,Bethesda Softworks,0.36,0.27,0,0.06,0.69
239,The Elder Scrolls Online: Morrowind,MMO,Bethesda Softworks,0.09,0.03,0,0.01,0.14
61,The Elder Scrolls Online,MMO,Bethesda Softworks,0.86,0.39,0,0.13,1.38
